# x y z a b
0.0218 0.0219 0.00 00.0 0
0.0249 0.0222 5.29 50.5 76
0.0279 0.0243 5.34 50.9 284
0.0308 0.0265 5.36 51.1 176
0.0334 0.0295 5.39 51.3 281
0.0367 0.0325 5.41 51.4 269
0.0399 0.0350 5.42 51.5 220
0.0430 0.0381 5.43 51.6 278
0.0462 0.0402 5.44 51.6 169
0.0496 0.0439 5.45 51.7 274
0.0530 0.0467 5.46 51.7 230
0.0564 0.0500 5.47 51.7 228
0.0600 0.0543 5.47 51.8 320
0.0632 0.0577 5.48 51.8 233
0.0671 0.0602 5.50 51.8 223
0.0712 0.0626 5.49 51.9 147
0.0745 0.0659 5.49 51.9 184
0.0780 0.0699 5.49 51.9 240
0.0820 0.0733 5.50 51.9 211
0.0864 0.0766 5.50 51.9 175
0.0912 0.0808 5.50 51.9 186
0.0944 0.0844 5.50 51.9 166
0.0980 0.0883 5.50 51.9 173
0.1011 0.0914 5.50 52.0 131
0.1042 0.0944 5.49 52.0 120
0.1077 0.0996 5.49 51.9 208
0.1100 0.1026 5.49 52.0 140
0.1138 0.1067 5.49 52.0 202
