second,Volt
-1.818,-0.015578
-1.8155,0.007538
-1.813,0
-1.8105,-0.015578
-1.808,-0.00804
-1.8055,-0.00804
-1.803,-0.00804
-1.8005,0
-1.798,0
-1.7955,-0.015578
-1.793,-0.007538
-1.7905,0.007538
-1.788,-0.007538
-1.7855,0
-1.783,-0.015578
-1.7805,0
-1.778,-0.015578
-1.7755,0
-1.773,0
-1.7705,-0.00804
-1.768,0.007538
-1.7655,0
-1.763,0
-1.7605,-0.007538
-1.758,-0.01608
-1.7555,0
-1.753,-0.007538
-1.7505,-0.00804
-1.748,-0.015578
-1.7455,-0.00804
-1.743,-0.00804
-1.7405,-0.007538
-1.738,0.00804
-1.7355,0
-1.733,-0.023618
-1.7305,0
-1.728,0
-1.7255,-0.015578
-1.723,0
-1.7205,-0.015578
-1.718,-0.00804
-1.7155,-0.015578
-1.713,-0.00804
-1.7105,0.007538
-1.708,-0.00804
-1.7055,-0.015578
-1.703,0.007538
-1.7005,-0.00804
-1.698,-0.015578
-1.6955,0
-1.693,-0.007538
-1.6905,-0.01608
-1.688,-0.00804
-1.6855,0
-1.683,-0.015578
-1.6805,0.007538
-1.678,-0.00804
-1.6755,-0.007538
-1.673,-0.007538
-1.6705,0
-1.668,0
-1.6655,-0.024121
-1.663,0
-1.6605,0.007538
-1.658,0
-1.6555,-0.00804
-1.653,-0.00804
-1.6505,-0.00804
-1.648,-0.007538
-1.6455,0
-1.643,-0.00804
-1.6405,0
-1.638,0
-1.6355,-0.015578
-1.633,0
-1.6305,-0.00804
-1.628,-0.015578
-1.6255,0
-1.623,-0.01608
-1.6205,-0.00804
-1.618,-0.015578
-1.6155,-0.00804
-1.613,0.007538
-1.6105,0.00804
-1.608,0
-1.6055,-0.007538
-1.603,0.007538
-1.6005,0
-1.598,-0.007538
-1.5955,-0.00804
-1.593,0
-1.5905,-0.007538
-1.588,-0.007538
-1.5855,0
-1.583,0
-1.5805,0
-1.578,-0.00804
-1.5755,-0.00804
-1.573,-0.00804
-1.5705,-0.015578
-1.568,-0.007538
-1.5655,0
-1.563,0
-1.5605,0
-1.558,-0.015578
-1.5555,-0.007538
-1.553,0
-1.5505,-0.015578
-1.548,-0.007538
-1.5455,-0.015578
-1.543,-0.00804
-1.5405,-0.007538
-1.538,0.007538
-1.5355,-0.00804
-1.533,-0.015578
-1.5305,0
-1.528,0.007538
-1.5255,0.00804
-1.523,0
-1.5205,-0.007538
-1.518,-0.00804
-1.5155,-0.031658
-1.513,-0.00804
-1.5105,-0.015578
-1.508,-0.00804
-1.5055,-0.015578
-1.503,0
-1.5005,-0.01608
-1.498,0
-1.4955,-0.015578
-1.493,-0.007538
-1.4905,-0.007538
-1.488,-0.015578
-1.4855,0.007538
-1.483,-0.00804
-1.4805,0
-1.478,-0.007538
-1.4755,-0.015578
-1.473,-0.01608
-1.4705,0
-1.468,0.007538
-1.4655,-0.015578
-1.463,-0.00804
-1.4605,0
-1.458,-0.024121
-1.4555,-0.007538
-1.453,-0.00804
-1.4505,0.007538
-1.448,0
-1.4455,-0.00804
-1.443,-0.007538
-1.4405,0.007538
-1.438,0.007538
-1.4355,0
-1.433,-0.00804
-1.4305,-0.007538
-1.428,0
-1.4255,-0.01608
-1.423,-0.00804
-1.4205,0.007538
-1.418,-0.015578
-1.4155,0.007538
-1.413,-0.01608
-1.4105,-0.031658
-1.408,-0.015578
-1.4055,-0.007538
-1.403,-0.015578
-1.4005,0
-1.398,-0.007538
-1.3955,0
-1.393,-0.00804
-1.3905,0
-1.388,-0.007538
-1.3855,0
-1.383,-0.007538
-1.3805,0
-1.378,-0.015578
-1.3755,0.007538
-1.373,0
-1.3705,-0.00804
-1.368,-0.00804
-1.3655,0
-1.363,-0.024121
-1.3605,0.007538
-1.358,-0.00804
-1.3555,0
-1.353,0
-1.3505,-0.007538
-1.348,0
-1.3455,0
-1.343,0
-1.3405,0.007538
-1.338,0
-1.3355,0
-1.333,0
-1.3305,0
-1.328,-0.00804
-1.3255,0
-1.323,-0.007538
-1.3205,-0.00804
-1.318,-0.01608
-1.3155,0.007538
-1.313,0
-1.3105,-0.015578
-1.308,0.007538
-1.3055,0
-1.303,0
-1.3005,-0.00804
-1.298,-0.007538
-1.2955,0.007538
-1.293,0
-1.2905,0.007538
-1.288,-0.015578
-1.2855,0
-1.283,-0.015578
-1.2805,-0.00804
-1.278,0
-1.2755,-0.007538
-1.273,0
-1.2705,-0.015578
-1.268,0
-1.2655,-0.015578
-1.263,0
-1.2605,-0.00804
-1.258,-0.015578
-1.2555,0.007538
-1.253,-0.007538
-1.2505,0.007538
-1.248,-0.00804
-1.2455,0
-1.243,-0.023618
-1.2405,0
-1.238,-0.023618
-1.2355,-0.007538
-1.233,-0.007538
-1.2305,-0.00804
-1.228,0
-1.2255,0
-1.223,0
-1.2205,-0.00804
-1.218,-0.007538
-1.2155,-0.015578
-1.213,0.007538
-1.2105,-0.007538
-1.208,0
-1.2055,-0.00804
-1.203,-0.00804
-1.2005,0
-1.198,-0.015578
-1.1955,-0.007538
-1.193,-0.015578
-1.1905,-0.007538
-1.188,0
-1.1855,0.007538
-1.183,0.007538
-1.1805,-0.00804
-1.178,-0.007538
-1.1755,-0.015578
-1.173,0
-1.1705,-0.00804
-1.168,0
-1.1655,0
-1.163,-0.007538
-1.1605,0
-1.158,-0.015578
-1.1555,0
-1.153,0
-1.1505,0
-1.148,0
-1.1455,0
-1.143,0
-1.1405,0
-1.138,0.007538
-1.1355,0
-1.133,-0.015578
-1.1305,-0.00804
-1.128,-0.015578
-1.1255,0.007538
-1.123,0
-1.1205,-0.00804
-1.118,0.007538
-1.1155,0
-1.113,0
-1.1105,-0.007538
-1.108,-0.007538
-1.1055,0.007538
-1.103,-0.023618
-1.1005,0
-1.098,-0.023618
-1.0955,0.015578
-1.093,0.007538
-1.0905,-0.023618
-1.088,0
-1.0855,-0.015578
-1.083,0
-1.0805,-0.00804
-1.078,-0.007538
-1.0755,0
-1.073,-0.023618
-1.0705,-0.015578
-1.068,0.007538
-1.0655,0
-1.063,-0.00804
-1.0605,0
-1.058,-0.00804
-1.0555,-0.01608
-1.053,0.007538
-1.0505,-0.00804
-1.048,-0.00804
-1.0455,-0.007538
-1.043,-0.00804
-1.0405,0
-1.038,-0.00804
-1.0355,-0.007538
-1.033,-0.007538
-1.0305,0
-1.028,0
-1.0255,-0.007538
-1.023,0
-1.0205,0.007538
-1.018,-0.007538
-1.0155,0
-1.013,-0.00804
-1.0105,-0.00804
-1.008,0
-1.0055,0
-1.003,0
-1.0005,-0.007538
-0.998,-0.007538
-0.9955,0
-0.993,0
-0.9905,0
-0.988,-0.00804
-0.9855,0.007538
-0.983,-0.00804
-0.9805,-0.015578
-0.978,0
-0.9755,0
-0.973,0
-0.9705,-0.007538
-0.968,0
-0.9655,-0.01608
-0.963,-0.015578
-0.9605,-0.007538
-0.958,-0.015578
-0.9555,-0.015578
-0.953,-0.00804
-0.9505,-0.00804
-0.948,-0.015578
-0.9455,0
-0.943,0
-0.9405,-0.00804
-0.938,0
-0.9355,-0.007538
-0.933,0
-0.9305,0.007538
-0.928,0.007538
-0.9255,-0.007538
-0.923,-0.023618
-0.9205,-0.007538
-0.918,0.00804
-0.9155,-0.015578
-0.913,-0.00804
-0.9105,0.00804
-0.908,0
-0.9055,-0.00804
-0.903,0
-0.9005,-0.007538
-0.898,0
-0.8955,0
-0.893,0
-0.8905,0
-0.888,-0.007538
-0.8855,-0.015578
-0.883,-0.007538
-0.8805,-0.00804
-0.878,0
-0.8755,-0.007538
-0.873,-0.015578
-0.8705,-0.00804
-0.868,-0.007538
-0.8655,0
-0.863,0
-0.8605,0
-0.858,0.007538
-0.8555,-0.00804
-0.853,-0.007538
-0.8505,-0.023618
-0.848,-0.00804
-0.8455,0
-0.843,-0.007538
-0.8405,0
-0.838,0
-0.8355,-0.007538
-0.833,-0.007538
-0.8305,0
-0.828,0
-0.8255,-0.023618
-0.823,-0.023618
-0.8205,-0.007538
-0.818,0
-0.8155,-0.015578
-0.813,0.007538
-0.8105,-0.00804
-0.808,0
-0.8055,0
-0.803,0
-0.8005,-0.015578
-0.798,0
-0.7955,0
-0.793,-0.023618
-0.7905,-0.007538
-0.788,0.015578
-0.7855,-0.00804
-0.783,0
-0.7805,0
-0.778,0.00804
-0.7755,0.007538
-0.773,-0.00804
-0.7705,-0.007538
-0.768,0
-0.7655,-0.015578
-0.763,0
-0.7605,-0.023618
-0.758,-0.015578
-0.7555,-0.015578
-0.753,0
-0.7505,-0.015578
-0.748,0
-0.7455,0
-0.743,0.007538
-0.7405,0
-0.738,0
-0.7355,-0.015578
-0.733,0
-0.7305,-0.023618
-0.728,0
-0.7255,0.007538
-0.723,0
-0.7205,-0.023618
-0.718,-0.015578
-0.7155,0
-0.713,-0.015578
-0.7105,0
-0.708,-0.015578
-0.7055,-0.007538
-0.703,-0.00804
-0.7005,0
-0.698,-0.007538
-0.6955,0.015578
-0.693,0
-0.6905,0
-0.688,0.007538
-0.6855,0.007538
-0.683,-0.007538
-0.6805,-0.007538
-0.678,0
-0.6755,0
-0.673,-0.023618
-0.6705,0
-0.668,-0.007538
-0.6655,-0.023618
-0.663,-0.015578
-0.6605,0.007538
-0.658,0
-0.6555,-0.007538
-0.653,-0.015578
-0.6505,-0.00804
-0.648,-0.00804
-0.6455,-0.015578
-0.643,0
-0.6405,-0.00804
-0.638,0
-0.6355,-0.015578
-0.633,0
-0.6305,-0.00804
-0.628,0.007538
-0.6255,-0.00804
-0.623,-0.015578
-0.6205,-0.00804
-0.618,0
-0.6155,-0.007538
